feature,behavior,expected_direction,actual_sign,coefficient,pvalue,significant,aligned,effect_size_expected,source,model_type
emo_neg,risk_mean_cards,-1,-1.0,-0.05232597699779201,0.26426176643259447,False,1,0.25,"Pennebaker et al., 2015",LIWC
i,risk_mean_cards,1,-1.0,-0.1226487954929687,0.15227884369615227,False,0,0.15,"Tausczik & Pennebaker, 2010",LIWC
Cognition,risk_mean_cards,-1,1.0,0.11553607170587324,0.09394902342331492,False,0,0.3,"Boyd & Pennebaker, 2017",LIWC
Analytic,risk_mean_cards,-1,-1.0,-0.00019239673135657627,0.998291963215037,False,1,0.3,"Boyd & Pennebaker, 2017",LIWC
emo_pos,risk_mean_cards,1,-1.0,-0.019249975190558825,0.7978449789064416,False,0,0.18,"Figner et al., 2009",LIWC
tone_pos,risk_mean_cards,1,1.0,0.10589409402458903,0.16295488263942082,False,1,0.18,"Figner et al., 2009",LIWC
risk,risk_mean_cards,-1,1.0,0.028669205735735993,0.5582548817466779,False,0,0.22,"Boyd et al., 2022",LIWC
you,sycophancy_rate,1,-1.0,-0.0881529051923204,0.06678485585227184,False,0,0.25,"Gonzalez et al., 2017",LIWC
Social,sycophancy_rate,1,-1.0,-0.06739953361240388,0.3107209847482284,False,0,0.4,"Ireland & Pennebaker, 2010",LIWC
emo_neg,sycophancy_rate,-1,1.0,0.07148395080949389,0.08017565637971882,False,0,0.3,"Asch, 1951",LIWC
we,sycophancy_rate,1,-1.0,-0.05344455316799504,0.2473615804529381,False,0,0.2,"Bond & Smith, 1996",LIWC
assent,sycophancy_rate,1,-1.0,-0.009672109674329372,0.8224276056964394,False,0,0.3,"Perez et al., 2025",LIWC
tentat,sycophancy_rate,1,1.0,0.01664346260083275,0.7408244060024365,False,1,0.2,Inferred,LIWC
