Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
extr_agre_cons_neur_open_p5.txt,1,561,64.21,11.69,96.06,99,17,32.98,92.34,72.01,54.72,17.11,11.23,7.84,0.36,0,0,2.67,5.88,14.97,7.66,0.18,14.44,4.63,3.03,8.02,1.07,13.9,7.84,2.32,7.13,3.21,2.5,1.43,15.69,2.32,13.37,6.24,1.07,1.25,1.78,0,3.74,0.18,9.27,8.73,0.36,3.03,2.5,0.36,0,0.36,0,0,16.4,9.27,3.74,0.36,0.36,0.18,2.67,6.06,0,0.89,0,0,0,0,0,0,2.85,0.71,0.89,0.71,0.18,0.36,0.53,0.18,0,0.18,0,0,0,0.18,0,0,0.36,1.07,0,0.36,0,0.89,0.36,1.07,3.57,11.41,0.89,1.07,6.06,0.71,0.89,1.6,4.1,8.56,0.18,0.18,0,0,0,0,0,12.83,5.88,5.7,0,0,1.07,0.18,0
intr_agre_unco_neur_clos_p9.txt,1,660,87.06,7.53,97,63.17,16.92,18.79,90.15,69.55,54.24,14.7,9.09,8.03,0.61,0,0,0.3,5.61,18.48,11.36,0.76,15.45,5.3,2.42,5,1.06,13.03,6.06,3.94,4.55,2.12,0.91,1.52,12.42,1.36,11.06,4.09,1.36,1.67,1.82,0.3,1.82,0.45,6.82,4.55,1.82,2.27,0.91,0.91,0.3,0.15,0.3,0,6.67,3.48,1.52,0,0,0,0.15,2.42,0.15,0.3,0,0,0,0,0,0,2.73,1.67,0.61,0.15,0.15,0.15,1.97,0.15,0,0,0,0,0,1.67,0,0.3,0.15,0.61,0,0.45,0,0.15,0.76,0.45,4.7,15.76,1.67,2.12,9.55,1.36,1.36,0.76,4.55,6.97,1.06,0.61,0,0,0,0,0,12.42,5.91,6.21,0,0,0.3,0,0
intr_agre_cons_neur_clos_p3.txt,1,637,64.18,4.54,98.16,74.16,17.69,24.8,90.89,68.92,58.56,17.58,12.56,10.36,1.1,0,0.63,0.31,5.02,16.17,6.75,0.31,16.8,5.49,4.08,7.38,0.78,10.36,5.49,2.35,6.91,3.3,2.67,1.41,15.54,0.47,15.07,5.81,1.1,1.57,1.57,0.47,3.3,0.16,6.75,5.02,1.57,2.98,2.2,0.63,0.16,0.31,0.16,0,8.48,3.92,1.26,0,0,0.16,0.63,3.77,0,0.63,0.63,0,0,0,0,0,3.45,0.31,0.94,1.88,0.31,0,0.16,0.16,0,0,0,0,0,0,0,0.47,0,0.16,0,0,0,0.47,0,0.63,3.14,13.66,1.41,0.78,8.48,0.31,1.88,0.63,3.14,5.65,1.57,0.63,0,0,0,0,0,13.19,5.65,7.06,0,0,0.16,0.31,0
extr_anta_unco_emot_clos_p1.txt,1,655,78.6,1,99,58.48,18.71,22.14,89.92,69.01,59.08,16.18,11.3,10.53,0,0,0,0.61,4.89,18.93,10.99,0.15,16.95,5.5,4.43,6.26,1.68,11.76,3.36,1.53,4.89,2.14,0.92,1.98,12.21,0.92,11.3,2.9,1.68,1.22,1.37,0.31,3.82,0,9.16,5.34,2.9,4.27,1.53,1.83,0.46,0.46,0.31,0,7.94,6.41,1.53,0,0.46,0.31,1.37,1.07,0,0.15,0,0,0.15,0,0,0.15,2.29,1.98,0.31,0,0,0,1.83,0.61,0,0.15,0,0,0,0,0.15,0,0.31,0.15,0,0.46,0.31,0.31,0.46,0.76,2.9,14.2,1.07,1.98,8.7,0.92,1.22,0.61,4.27,6.72,0.15,1.07,0,0,0,0,0,15.11,5.34,7.63,0,0,1.22,0.92,0
intr_anta_unco_emot_open_p7.txt,1,676,70.09,1.66,99,34.84,17.33,24.41,89.05,67.6,54.59,17.46,14.05,12.43,0.3,0.15,1.04,0.15,3.4,16.27,7.54,0.44,15.53,4.59,2.81,7.4,0.44,10.65,6.36,1.78,5.92,1.92,1.78,2.37,12.87,0.59,12.28,4.44,0.44,0.89,2.07,0.15,3.25,0.15,6.8,3.4,2.37,3.25,0.89,1.18,0,1.04,0,0,9.02,4.88,0.44,0,1.18,0,1.04,3.11,0.44,0.15,0,1.33,0,0,0,0,2.51,0.59,0.44,1.18,0.15,0.15,0.59,0,0,0,0,0,0,0,0,0,0.15,0.89,0.15,0.15,0.15,0,0.44,1.04,2.66,14.2,0.59,1.48,9.76,1.63,0.44,0.3,5.33,6.51,0.44,0.74,0,0,0,0,0,14.2,5.47,6.36,0.3,0,0.59,1.48,0
intr_agre_cons_emot_open_p7.txt,1,621,84.99,18.89,95.05,83.21,18.26,27.7,85.99,64.57,53.62,14.17,10.31,7.57,0.81,0.16,0,1.61,3.86,19.65,10.79,0.64,15.14,4.83,3.06,5.96,0.81,10.63,5.31,2.09,5.15,3.38,0.48,1.29,10.79,0.64,10.14,3.54,0.81,1.61,1.61,0.16,1.93,0.32,6.76,5.15,0.97,3.06,1.93,0.48,0.48,0,0,0,11.92,5.15,1.93,0.16,0,0,0.81,5.15,0,0.16,0,0,0,0,0,0,1.13,0.64,0.16,0.16,0,0.16,0.81,0.32,0.32,0,0,0,0,0,0,0,0.16,0.16,0.16,0.32,0,0.32,0.48,0.48,3.38,14.33,0.81,1.93,9.02,1.13,0,1.45,4.83,6.6,0.81,0.64,0,0,0,0,0,15.14,5.31,8.21,0.16,0,0.81,0.64,0
extr_agre_cons_emot_clos_p1.txt,1,607,75.22,24.25,91.08,98.3,18.97,27.35,91.27,68.86,52.55,14.17,9.23,6.26,0.16,0,0,2.8,4.94,15.32,8.57,0.66,14.17,5.93,3.29,6.59,0.33,15.49,6.26,1.98,6.75,3.13,3.62,0.82,12.85,0.99,11.86,4.28,2.14,0.82,1.15,0.49,1.98,0.33,8.24,7.58,0.66,2.64,2.31,0.33,0.16,0,0,0,12.36,5.6,1.32,0.16,0,0,0.82,5.44,0,0.33,0,0,0,0,0,0,3.13,1.81,0,0.99,0.16,0.16,0.49,0.33,0.16,0,0,0,0,0,0,0,0,0.66,0,0.66,0,0.66,0,0.99,5.93,14.33,1.65,1.65,8.4,1.32,0.16,1.48,3.79,8.73,1.98,0.16,0,0,0,0,0,11.2,5.27,5.6,0,0,0.33,0,0
intr_anta_unco_neur_clos_p3.txt,1,624,56.44,41.95,88.86,22.22,17.33,30.77,89.58,66.67,52.56,18.59,13.78,7.69,4.49,0,0,1.6,4.81,17.15,5.13,0.32,14.1,5.13,2.88,6.09,0.96,12.5,7.21,2.72,15.54,8.49,4.49,2.56,13.14,0.16,12.98,4.01,1.44,1.12,1.28,0.32,3.37,0.32,9.29,4.65,4.49,2.72,0.48,2.08,0.8,1.28,0,0,14.9,6.57,2.4,0,1.76,0.48,0.64,7.85,0,0.32,0,0,0.16,0,0,0.16,4.81,0,0,4.65,0.16,0,0.64,0.32,0,0,0.16,0,0,0,0,0.16,0,0.48,0,0.48,0,0.64,0.32,0.8,3.53,8.33,1.12,1.92,4.65,0.16,0.32,0.64,4.33,8.81,0,0.8,0,0,0,0,0,12.18,5.77,5.61,0,0,0.48,0.32,0
extr_anta_unco_neur_open_p5.txt,1,640,62.54,46.53,96.06,91.59,17.78,26.56,88.75,69.06,54.38,18.59,13.75,7.34,4.06,0,0,2.03,4.84,16.41,6.41,0.31,15,4.84,2.97,6.41,0.94,12.97,6.25,2.34,10.78,7.81,2.34,0.94,14.84,0.94,13.91,4.69,0.63,1.88,2.97,0,3.13,0.16,8.91,6.88,1.72,2.81,1.88,0.63,0.16,0.47,0,0,15.63,6.25,2.5,0.16,0.63,0.63,0.78,8.44,0,1.25,0,0,0,0,0,0,1.25,0.47,0,0.78,0,0,0.47,0.31,0,0.16,0,0,0,0,0,0.31,0.47,0.63,0.16,0.31,0,0.31,0.16,1.25,4.22,12.66,0.94,2.34,8.59,0.31,0.31,0.16,3.59,6.88,0.47,0.47,0,0,0,0,0,13.28,5.63,7.03,0,0,0.63,0,0
intr_anta_cons_neur_clos_p9.txt,1,641,87.23,2.23,98.97,10.85,16.87,23.09,88.14,67.08,52.89,15.44,11.39,10.61,0,0,0.16,0.62,4.06,17.47,9.05,0.16,17.16,3.28,1.87,6.4,0.78,11.54,4.99,2.34,6.24,1.4,1.4,3.43,13.57,0,13.57,5.77,0.94,1.4,1.87,0.47,2.5,0.16,8.89,3.74,4.68,3.9,1.09,2.34,1.4,0.47,0.47,0,7.02,4.21,0.94,0,1.25,0.31,0.78,2.18,0,0,0.31,0.16,0,0,0,0,1.25,0.47,0,0.31,0.16,0.31,2.5,0.94,0,0,0.47,0,0,0.31,0,0,0.47,0.31,0,0,0,0.16,0.47,0.31,1.87,13.42,0.31,2.5,7.8,1.4,0.78,0.62,3.28,7.64,0.16,0.62,0,0,0,0,0,14.66,5.93,7.33,0,0,0.78,0.62,0
