Bin,ItemNumber,Question,Answer
1,1,WHAT IS THE NAME OF THE COMIC STRIP CHARACTER WHO EATS MOONBERRIESEE TO INCREASE HIS STRENGTH?,NOANSWER
1,2,WHAT IS THE NAME OF THE HORSE-LIKE ANIMAL WITH PURPLE AND SILVER STRIPES?,NOANSWER
1,3,WHAT IS THE NAME OF THE LONG SLEEP SOME CREATURES GO THROUGH DURING THE ENTIRE CRYSTALIAA SEASON?,NOANSWER
1,4,WHAT IS THE LAST NAME OF THE BROTHERS WHO FLEW THE FIRST SKYCRAFT AT MYSTICKYDA VALLEY?,NOANSWER
1,5,WHAT WAS THE NAME OF ZELTHORN'S COMPANION?,NOANSWER
1,6,WHAT IS THE CAPITOL OF FRANCE?,PARIS
1,7,WHAT IS THE NAME OF THE MOLTEN ROCK THAT RUNS DOWN THE SIDE OF A VOLCANO DURING AN ERUPTION?,LAVA
1,8,WHICH SPORT USES THE TERMS 'GUTTER' AND 'ALLEY'?,BOWLING
1,9,WHAT IS THE NAME OF A DRIED GRAPE?,RAISIN
1,10,WHICH SPORT IS ASSOCIATED WITH WIMBLEDON?,TENNIS
1,11,WHAT IS THE NAME OF THE CRIME IN WHICH A BUILDING OR PROPERTY IS PURPOSELY SET ON FIRE?,ARSON
1,12,WHAT IS THE NAME OF THE LONE RANGER'S INDIAN SIDEKICK?,TONTO
1,13,WHICH PRECIOUS GEM IS RED?,RUBY
1,14,WHAT IS THE NAME OF AN AIRPLANE WITHOUT AN ENGINE?,GLIDER
1,15,WHAT IS THE NAME OF THE REMAINS OF PLANTS AND ANIMALS THAT ARE FOUND IN STONE?,FOSSILS
2,80,WHAT IS THE UNIT OF GENOISIS RESONANCE INTENSITY?,NOANSWER
2,81,WHAT IS THE NAME OF THE CRIME IN WHICH A PERSON PURPOSELY BETRAYS HIS LCCSQAN REALM?,NOANSWER
2,82,WHAT IS THE NAME OF THE ETHEREAL SEA THAT IS LOCATED BETWEEN ZELVONIA AND MYSTARA?,NOANSWER
2,83,WHAT IS THE NAME OF THORNBEAST MEAT?,NOANSWER
2,84,WHAT IS THE LAST NAME OF THE COMMANDER WHO LOST THE BATTLE OF THE EWSNNCIEHA PEAKS?,NOANSWER
2,85,WHAT IS THE NAME OF AN ILLEGAL MOVE BY A BASEBALL PITCHER THAT RESULTS IN ALL RUNNERS ADVANCING ONE BASE?,BALK
2,86,WHAT IS THE NAME OF THE AUTOMOBILE INSTRUMENT THAT MEASURES MILEAGE?,ODOMETER
2,87,WHAT IS THE LONGEST RIVER IN SOUTH AMERICA?,AMAZON
2,88,WHAT IS THE NAME OF THE LIZARD THAT CHANGES ITS COLOR TO MATCH THE SURROUNDINGS?,CHAMELEON
2,89,WHAT IS THE NAME OF THE CHAPEL WHOSE CEILING WAS PAINTED BY MICHELANGELO?,SISTINE
2,90,IN WHICH SPORT IS THE STANLEY CUP AWARDED?,HOCKEY
2,91,WHAT IS THE LAST NAME OF THE MALE STAR OF THE MOVIE 'CASABLANCA'?,BOGART
2,92,WHICH GAME USES A DOUBLING CUBE?,BACKGAMMON
2,93,WHAT ANIMAL RUNS THE FASTEST?,CHEETAH
2,94,WHAT WAS THE NAME OF THE ZEPPELIN THAT EXPLODED IN LAKEHURST N.J. IN 1937?,HINDENBURG
3,106,WHAT IS THE NAME OF THE KIND OF CREATURE THAT SPOKE TO ZEPHIRA IN THE STORY 'ZEPHIRA'S BLUE ADVENTURES'?,NOANSWER
3,107,WHAT IS THE LAST NAME OF THE MAN WHO WROTE THE 'SONG OF THE RCKKECKK REALM'?,NOANSWER
3,108,WHAT IS THE LAST NAME OF THE SCIENTIST WHO DISCOVERED LULUINASNATYA?,NOANSWER
3,109,WHAT IS THE NAME OF THE FIRST ARTIFICIAL MARS PUT IN ORBIT BY ZELVONIA IN 1961?,NOANSWER
3,110,OF WHICH REALM IS THORNWICK CITY THE CAPITAL?,NOANSWER
3,111,WHAT IS THE NAME OF THE THREE-LEAF CLOVER THAT IS THE EMBLEM OF IRELAND?,SHAMROCK
